"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME (shares)","VALUE (₹ Crores)","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG -"
"INFY","1,755.20","1,775.85","1,755.00","1,767.70","1,755.65","-","-12.05","-0.68","25,59,499","451.52","2,006.45","1,358.35","-2.98","6.26"
"LT","3,238.00","3,258.50","3,201.95","3,225.90","3,203.75","-","-22.15","-0.69","10,41,528","335.94","3,963.50","3,175.05","-6.70","-8.00"
"ADANIENSOL","673.50","678.45","664.35","669.70","665.05","-","-4.65","-0.69","6,85,531","45.92","1,348.00","588.00","-11.37","-40.35"
"HCLTECH","1,620.00","1,660.00","1,615.20","1,636.10","1,624.25","-","-11.85","-0.72","12,02,084","195.30","2,012.20","1,235.00","-4.43","-1.37"
"ACC","1,836.00","1,840.00","1,807.00","1,834.05","1,820.50","-","-13.55","-0.74","1,42,754","25.99","2,844.00","1,807.00","-8.09","-31.29"
"TATASTEEL","137.21","138.50","135.88","137.07","136.05","-","-1.02","-0.74","1,75,33,601","239.91","184.60","122.62","8.47","-4.94"
"BDL","1,015.00","1,025.45","995.25","1,023.70","1,015.80","-","-7.90","-0.77","4,59,961","46.40","1,794.70","776.05","-15.01","-45.78"
"GODREJCP","1,057.10","1,067.70","1,047.05","1,057.10","1,048.90","-","-8.20","-0.78","8,19,346","86.06","1,541.85","997.20","-6.17","-16.50"
"AMBUJACEM","470.00","472.85","459.15","469.25","465.35","-","-3.90","-0.83","22,10,808","102.74","706.95","453.05","-12.27","-22.23"
"LODHA","1,194.00","1,215.00","1,174.55","1,196.60","1,186.50","-","-10.10","-0.84","10,65,742","127.80","1,649.95","977.35","8.44","4.30"
"BOSCHLTD","27,288.00","27,341.10","26,711.10","27,164.55","26,931.95","-","-232.60","-0.86","12,500","33.76","39,088.80","26,501.05","-8.55","-5.89"
"ITC","404.85","406.50","399.50","404.85","401.20","-","-3.65","-0.90","64,65,511","259.87","528.50","396.20","-8.01","-1.53"
"MARUTI","12,531.70","12,550.00","12,349.85","12,476.35","12,363.85","-","-112.50","-0.90","1,28,434","159.30","13,680.00","10,725.00","4.02","8.48"
"PIDILITIND","2,699.25","2,717.90","2,666.00","2,696.50","2,671.50","-","-25.00","-0.93","1,38,164","37.10","3,415.00","2,660.10","-5.95","-1.30"
"IRFC","123.50","124.00","120.73","123.26","122.11","-","-1.15","-0.93","1,33,03,272","161.99","229.00","116.65","-10.06","-18.69"
"UNIONBANK","116.75","117.70","114.78","116.29","115.20","-","-1.09","-0.94","53,98,587","62.65","172.50","100.81","10.13","-20.40"
"POLICYBZR","1,523.85","1,523.85","1,457.25","1,505.50","1,491.35","-","-14.15","-0.94","7,82,039","115.81","2,246.90","1,017.55","-11.13","32.59"
"NTPC","315.35","319.30","314.50","318.70","315.70","-","-3.00","-0.94","38,69,919","122.21","448.45","292.80","-1.09","-5.18"
"MAZDOCK","2,131.00","2,149.50","2,086.00","2,123.25","2,103.00","-","-20.25","-0.95","10,17,860","214.72","2,930.00","897.70","-4.72","1.47"
"ESCORTS","2,923.35","2,950.90","2,904.05","2,941.85","2,913.50","-","-28.35","-0.96","83,720","24.43","4,420.00","2,670.55","-12.63","3.02"
"LICHSGFIN","521.00","524.70","514.50","521.45","516.40","-","-5.05","-0.97","15,83,229","82.20","826.75","514.50","-7.53","-19.72"
"TORNTPOWER","1,322.50","1,335.60","1,295.65","1,322.50","1,308.65","-","-13.85","-1.05","2,01,689","26.46","2,037.00","1,064.50","-9.14","14.89"
"APOLLOHOSP","6,261.00","6,282.25","6,145.45","6,251.35","6,185.40","-","-65.95","-1.05","2,63,232","163.00","7,545.35","5,693.20","-6.63","-5.58"
"HINDUNILVR","2,269.65","2,269.65","2,233.10","2,259.30","2,234.95","-","-24.35","-1.08","9,00,586","202.75","3,035.00","2,172.05","-5.58","-6.07"
"KOTAKBANK","1,972.00","1,975.00","1,942.40","1,967.25","1,945.95","-","-21.30","-1.08","14,85,302","290.25","1,994.90","1,543.85","4.56","15.26"
"BHARATFORG","1,045.25","1,050.00","1,024.30","1,045.20","1,033.75","-","-11.45","-1.10","4,95,140","51.36","1,804.50","1,024.30","-12.71","-11.27"
"PERSISTENT","5,525.00","5,550.30","5,419.50","5,508.10","5,447.40","-","-60.70","-1.10","2,16,979","118.85","6,788.90","1,965.50","-9.13","-35.34"
"TECHM","1,575.00","1,595.70","1,574.90","1,593.95","1,576.30","-","-17.65","-1.11","11,49,867","182.33","1,807.70","1,162.95","-3.62","22.99"
"SAIL","106.20","107.98","104.69","106.17","104.99","-","-1.18","-1.11","1,04,72,180","110.86","175.35","99.15","2.65","-15.30"
"VEDL","409.00","412.50","402.25","409.25","404.55","-","-4.70","-1.15","55,86,899","227.81","526.95","249.50","-3.46","55.08"
"PNB","93.50","93.85","91.86","93.12","92.05","-","-1.07","-1.15","1,50,21,903","139.27","142.90","90.16","-2.50","-24.54"
"CIPLA","1,452.00","1,464.30","1,436.00","1,463.35","1,446.10","-","-17.25","-1.18","6,89,563","99.90","1,702.05","1,317.25","4.82","-1.62"
"SJVN","89.54","89.99","88.11","89.53","88.46","-","-1.07","-1.20","46,47,617","41.33","159.65","86.25","-1.76","-26.79"
"MAXHEALTH","1,027.80","1,037.95","1,008.25","1,022.90","1,010.65","-","-12.25","-1.20","27,53,330","281.12","1,227.95","706.45","-0.68","20.36"
"TORNTPHARM","3,030.00","3,050.00","2,985.00","3,031.05","2,994.70","-","-36.35","-1.20","1,31,886","39.63","3,590.70","2,487.80","-9.19","15.43"
"ASHOKLEY","227.50","227.59","222.35","227.23","224.41","-","-2.82","-1.24","50,64,414","114.09","264.65","157.55","15.18","30.59"
"PAYTM","736.00","749.70","715.05","734.70","725.50","-","-9.20","-1.25","31,84,384","232.06","1,062.95","310.00","-5.80","71.84"
"RECLTD","381.00","386.40","377.10","383.60","378.75","-","-4.85","-1.26","33,31,618","127.03","654.00","375.70","-10.48","-13.45"
"IDBI","72.05","72.45","70.85","71.90","70.98","-","-0.92","-1.28","20,25,800","14.47","107.90","65.89","-10.47","-18.76"
"SOLARINDS","8,853.10","8,866.00","8,670.05","8,870.10","8,754.50","-","-115.60","-1.30","44,600","39.02","13,298.00","6,701.00","-4.72","29.49"
"BEL","257.10","258.40","252.15","256.65","253.20","-","-3.45","-1.34","67,09,378","171.08","340.50","179.10","-2.40","24.98"
"OBEROIRLTY","1,543.50","1,546.75","1,507.60","1,543.35","1,522.50","-","-20.85","-1.35","7,70,216","117.35","2,343.65","1,283.85","-8.41","11.43"
"JIOFIN","226.36","228.00","222.30","226.32","223.23","-","-3.09","-1.37","1,08,89,837","243.37","394.70","217.01","-2.99","-28.94"
"LICI","757.00","759.00","745.60","756.55","746.15","-","-10.40","-1.37","7,50,055","56.27","1,222.00","744.95","-6.49","-27.27"
"EICHERMOT","4,960.50","5,000.00","4,912.55","4,989.80","4,919.90","-","-69.90","-1.40","2,16,681","107.15","5,575.50","3,672.00","-3.01","24.66"
"LTIM","4,951.00","4,980.00","4,874.65","4,963.20","4,892.35","-","-70.85","-1.43","1,67,479","82.45","6,767.95","4,513.55","-12.71","-8.81"
"COLPAL","2,493.00","2,545.80","2,483.55","2,520.00","2,484.00","-","-36.00","-1.43","5,85,770","147.10","3,890.00","2,411.00","-6.96","-0.46"
"KALYANKJIL","479.00","483.95","458.55","478.05","471.10","-","-6.95","-1.45","56,46,193","265.29","795.40","336.05","9.34","29.03"
"TATAMOTORS","662.00","665.00","650.00","661.60","651.85","-","-9.75","-1.47","79,45,458","520.15","1,179.00","650.00","-7.22","-31.28"
"COCHINSHIP","1,305.00","1,313.40","1,270.10","1,304.65","1,285.00","-","-19.65","-1.51","3,92,056","50.41","2,979.45","713.35","-7.03","52.76"
"OFSS","8,210.05","8,258.00","8,025.50","8,208.90","8,084.85","-","-124.05","-1.51","73,786","59.68","13,220.00","7,022.55","-11.72","4.58"
"JSWINFRA","256.40","257.15","251.00","256.20","252.25","-","-3.95","-1.54","10,27,084","25.95","360.95","211.10","-1.74","2.56"
"DABUR","510.15","515.00","501.50","510.95","502.95","-","-8.00","-1.57","7,15,329","36.13","672.00","489.20","-2.46","-4.60"
"YESBANK","17.79","17.93","17.46","17.79","17.51","-","-0.28","-1.57","3,86,79,266","68.31","28.55","17.06","-3.79","-29.12"
