"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME (shares)","VALUE (₹ Crores)","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG -"
"POONAWALLA","277.30","291.95","277.20","276.20","283.60","-","7.40","2.68","36,01,196","103.35","514.00","270.05","-10.77","-41.64"
"BAJAJFINSV","1,882.15","1,938.80","1,881.00","1,875.10","1,925.00","-","49.90","2.66","22,40,687","429.76","2,029.90","1,419.05","9.55","17.15"
"VOLTAS","1,285.10","1,317.95","1,275.00","1,277.70","1,308.00","-","30.30","2.37","18,97,427","247.48","1,944.90","1,023.95","-9.94","14.36"
"FACT","718.90","735.00","703.95","713.80","730.00","-","16.20","2.27","2,87,759","20.75","1,187.00","572.60","-20.61","-7.57"
"SBICARD","844.90","864.75","844.00","840.70","856.75","-","16.05","1.91","17,63,387","151.06","872.00","647.95","11.54","14.88"
"INDUSINDBK","1,046.90","1,063.30","1,042.70","1,034.25","1,050.80","-","16.55","1.60","34,70,607","364.77","1,576.35","923.70","11.64","-30.73"
"SUNDARMFIN","4,545.00","4,630.30","4,473.55","4,479.60","4,548.20","-","68.60","1.53","69,901","31.83","5,535.85","3,622.25","1.59","6.69"
"BANDHANBNK","140.60","146.38","137.28","135.34","137.30","-","1.96","1.45","3,99,70,968","568.91","222.31","128.16","-9.47","-32.72"
"HINDALCO","625.10","631.70","619.50","619.45","628.30","-","8.85","1.43","46,72,919","291.96","772.65","499.00","5.55","21.54"
"MUTHOOTFIN","2,217.65","2,255.00","2,195.00","2,183.25","2,213.25","-","30.00","1.37","9,38,102","208.44","2,334.80","1,261.90","2.07","68.68"
"HDFCBANK","1,682.55","1,704.20","1,682.55","1,682.35","1,703.70","-","21.35","1.27","84,00,636","1,426.50","1,880.00","1,397.30","3.22","18.46"
"AXISBANK","1,007.65","1,023.00","1,005.15","1,009.10","1,021.80","-","12.70","1.26","50,69,277","515.59","1,339.65","933.50","6.43","-6.48"
"INDUSTOWER","331.65","339.45","329.50","331.60","335.70","-","4.10","1.24","54,91,526","183.87","460.35","227.25","-4.97","38.02"
"ZOMATO","226.00","228.23","225.05","225.63","227.85","-","2.22","0.98","1,89,95,205","430.45","304.70","144.30","9.42","39.88"
"ICICIGI","1,682.20","1,735.00","1,676.25","1,687.75","1,702.85","-","15.10","0.89","6,08,180","104.19","2,301.90","1,480.50","-5.11","-2.26"
"JUBLFOOD","680.80","697.30","680.00","680.95","686.00","-","5.05","0.74","14,76,727","101.62","796.75","421.05","6.62","40.91"
"JSWSTEEL","958.75","981.00","958.70","958.75","965.85","-","7.10","0.74","12,21,449","118.62","1,063.00","761.75","4.29","17.07"
"NESTLEIND","2,260.20","2,271.10","2,250.00","2,250.40","2,266.20","-","15.80","0.70","4,08,711","92.49","2,778.00","2,131.25","3.48","-13.40"
"BHARTIARTL","1,643.40","1,656.00","1,638.65","1,641.40","1,652.60","-","11.20","0.68","38,90,932","641.03","1,779.00","1,099.00","2.42","45.58"
"HINDZINC","407.00","410.55","403.05","407.25","409.95","-","2.70","0.66","5,94,934","24.27","807.70","284.60","-9.67","31.52"
"SUNPHARMA","1,628.95","1,628.95","1,605.05","1,613.60","1,623.40","-","9.80","0.61","13,58,481","219.78","1,960.35","1,377.20","-9.70","1.95"
"IDFCFIRSTB","59.00","60.46","59.00","58.81","59.16","-","0.35","0.60","2,70,68,964","161.60","86.10","56.43","3.67","-29.40"
"INDIGO","4,443.50","4,499.00","4,418.00","4,427.45","4,452.30","-","24.85","0.56","3,31,207","147.36","5,035.00","3,020.00","6.03","39.10"
"ALKEM","4,610.40","4,628.95","4,522.00","4,563.70","4,587.75","-","24.05","0.53","1,47,360","67.43","6,439.90","4,407.05","-8.04","-9.52"
"MARICO","610.00","625.00","609.95","621.80","624.50","-","2.70","0.43","9,71,539","60.33","736.90","486.30","-5.31","18.83"
"MFSL","1,002.00","1,022.60","1,002.00","1,015.80","1,020.20","-","4.40","0.43","16,49,830","167.54","1,306.45","864.00","-2.37","8.60"
"ATGL","583.05","596.60","572.85","579.05","581.55","-","2.50","0.43","10,57,362","61.93","1,190.00","545.75","-6.51","-44.76"
"ICICIBANK","1,225.15","1,234.85","1,219.75","1,224.15","1,229.20","-","5.05","0.41","54,05,634","664.31","1,362.35","1,038.50","-0.31","15.46"
"CUMMINSIND","2,766.35","2,820.90","2,766.35","2,788.15","2,799.45","-","11.30","0.41","2,98,864","83.68","4,171.90","2,636.75","0.47","1.24"
"POWERGRID","254.00","256.90","253.45","255.75","256.75","-","1.00","0.39","73,20,487","186.98","366.25","252.20","-10.89","-12.56"
"COALINDIA","359.00","362.65","356.15","361.15","362.50","-","1.35","0.37","31,34,484","112.37","543.55","349.25","-3.89","-18.18"
"WIPRO","294.00","295.80","291.50","291.30","292.00","-","0.70","0.24","98,63,964","289.71","324.60","208.50","-5.41","-45.19"
